type,status,departure.iataCode,departure.icaoCode,departure.terminal,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.gate,arrival.delay,arrival.baggage,departure.gate,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,error
departure,unknown,dad,vvdn,1,,2023-11-01t08:35:00.000,,,,,han,vvnb,1,2023-11-01t10:05:00.000,,cambodia angkor air,k6,khv,3158,k63158,khv3158,vietnam airlines,vn,hvn,158,vn158,hvn158,,,,,,,,
departure,unknown,dad,vvdn,1,,2023-11-01t08:35:00.000,,,,,han,vvnb,1,2023-11-01t10:05:00.000,,vietnam airlines,vn,hvn,158,vn158,hvn158,,,,,,,,,,,,,,
departure,active,dad,vvdn,1,20.0,2023-11-01t09:00:00.000,2023-11-01t09:05:00.000,2023-11-01t09:19:00.000,2023-11-01t09:19:00.000,2023-11-01t09:19:00.000,sgn,vvts,1,2023-11-01t10:30:00.000,2023-11-01t10:20:00.000,jetstar pacific,bl,pic,6055,bl6055,pic6055,,,,,,,,,,,,,,
departure,active,dad,vvdn,,2.0,2023-11-01t09:05:00.000,2023-11-01t09:05:00.000,2023-11-01t09:06:00.000,2023-11-01t09:06:00.000,2023-11-01t09:06:00.000,khh,rckh,,2023-11-01t12:20:00.000,2023-11-01t12:03:00.000,tigerair taiwan,it,ttw,578,it578,ttw578,,,,,,,27,,,,,,,
departure,active,dad,vvdn,1,29.0,2023-11-01t09:05:00.000,2023-11-01t09:16:00.000,2023-11-01t09:34:00.000,2023-11-01t09:34:00.000,2023-11-01t09:34:00.000,han,vvnb,t1,2023-11-01t10:25:00.000,2023-11-01t10:35:00.000,jet linx aviation,jl,jtl,5764,jl5764,jtl5764,vietjet air,vj,vjc,506,vj506,vjc506,,10.0,,,,,,
departure,active,dad,vvdn,1,29.0,2023-11-01t09:05:00.000,2023-11-01t09:16:00.000,2023-11-01t09:34:00.000,2023-11-01t09:34:00.000,2023-11-01t09:34:00.000,han,vvnb,t1,2023-11-01t10:25:00.000,2023-11-01t10:35:00.000,,a1,a1,2506,a12506,a12506,vietjet air,vj,vjc,506,vj506,vjc506,,10.0,,,,,,
departure,active,dad,vvdn,1,29.0,2023-11-01t09:05:00.000,2023-11-01t09:16:00.000,2023-11-01t09:34:00.000,2023-11-01t09:34:00.000,2023-11-01t09:34:00.000,han,vvnb,t1,2023-11-01t10:25:00.000,2023-11-01t10:35:00.000,flexflight,w2,fxt,4506,w24506,fxt4506,vietjet air,vj,vjc,506,vj506,vjc506,,10.0,,,,,,
departure,active,dad,vvdn,1,29.0,2023-11-01t09:05:00.000,2023-11-01t09:16:00.000,2023-11-01t09:34:00.000,2023-11-01t09:34:00.000,2023-11-01t09:34:00.000,han,vvnb,t1,2023-11-01t10:25:00.000,2023-11-01t10:35:00.000,,h1,h1,4344,h14344,h14344,vietjet air,vj,vjc,506,vj506,vjc506,,10.0,,,,,,
departure,active,dad,vvdn,1,29.0,2023-11-01t09:05:00.000,2023-11-01t09:16:00.000,2023-11-01t09:34:00.000,2023-11-01t09:34:00.000,2023-11-01t09:34:00.000,han,vvnb,t1,2023-11-01t10:25:00.000,2023-11-01t10:35:00.000,vietjet air,vj,vjc,506,vj506,vjc506,,,,,,,,10.0,,,,,,
departure,active,dad,vvdn,1,17.0,2023-11-01t09:15:00.000,2023-11-01t09:15:00.000,2023-11-01t09:32:00.000,2023-11-01t09:32:00.000,2023-11-01t09:32:00.000,sgn,vvts,1,2023-11-01t10:50:00.000,2023-11-01t10:33:00.000,cambodia angkor air,k6,khv,3109,k63109,khv3109,vietnam airlines,vn,hvn,109,vn109,hvn109,,,,,,,,
departure,active,dad,vvdn,1,17.0,2023-11-01t09:15:00.000,2023-11-01t09:15:00.000,2023-11-01t09:32:00.000,2023-11-01t09:32:00.000,2023-11-01t09:32:00.000,sgn,vvts,1,2023-11-01t10:50:00.000,2023-11-01t10:33:00.000,vietnam airlines,vn,hvn,109,vn109,hvn109,,,,,,,,,,,,,,
departure,active,dad,vvdn,1,16.0,2023-11-01t09:20:00.000,,2023-11-01t09:36:00.000,2023-11-01t09:36:00.000,2023-11-01t09:36:00.000,sgn,vvts,1,2023-11-01t10:45:00.000,2023-11-01t10:39:00.000,,a1,a1,2625,a12625,a12625,vietjet air,vj,vjc,625,vj625,vjc625,,,,,,,,
departure,active,dad,vvdn,1,16.0,2023-11-01t09:20:00.000,,2023-11-01t09:36:00.000,2023-11-01t09:36:00.000,2023-11-01t09:36:00.000,sgn,vvts,1,2023-11-01t10:45:00.000,2023-11-01t10:39:00.000,flexflight,w2,fxt,4625,w24625,fxt4625,vietjet air,vj,vjc,625,vj625,vjc625,,,,,,,,
departure,active,dad,vvdn,1,16.0,2023-11-01t09:20:00.000,,2023-11-01t09:36:00.000,2023-11-01t09:36:00.000,2023-11-01t09:36:00.000,sgn,vvts,1,2023-11-01t10:45:00.000,2023-11-01t10:39:00.000,,h1,h1,4162,h14162,h14162,vietjet air,vj,vjc,625,vj625,vjc625,,,,,,,,
departure,active,dad,vvdn,1,16.0,2023-11-01t09:20:00.000,,2023-11-01t09:36:00.000,2023-11-01t09:36:00.000,2023-11-01t09:36:00.000,sgn,vvts,1,2023-11-01t10:45:00.000,2023-11-01t10:39:00.000,vietjet air,vj,vjc,625,vj625,vjc625,,,,,,,,,,,,,,
departure,active,dad,vvdn,,5.0,2023-11-01t09:20:00.000,2023-11-01t09:20:00.000,2023-11-01t09:25:00.000,2023-11-01t09:25:00.000,2023-11-01t09:25:00.000,sgn,vvts,,2023-11-01t10:50:00.000,2023-11-01t10:29:00.000,vietravel airlines,vu,vag,673,vu673,vag673,,,,,,,,,,,,,,
departure,active,dad,vvdn,,9.0,2023-11-01t09:30:00.000,2023-11-01t09:30:00.000,2023-11-01t09:38:00.000,2023-11-01t09:38:00.000,2023-11-01t09:38:00.000,han,vvnb,t1,2023-11-01t11:00:00.000,2023-11-01t10:41:00.000,vietravel airlines,vu,vag,638,vu638,vag638,,,,,,,,,,,,,,
departure,active,dad,vvdn,2,11.0,2023-11-01t09:35:00.000,2023-11-01t09:33:00.000,2023-11-01t09:45:00.000,2023-11-01t09:45:00.000,2023-11-01t09:45:00.000,dmk,vtbd,1,2023-11-01t11:20:00.000,2023-11-01t11:03:00.000,thai airasia,fd,aiq,635,fd635,aiq635,,,,,,,,,,,,,,
departure,unknown,dad,vvdn,1,,2023-11-01t09:35:00.000,,,,,pqc,vvpq,,2023-11-01t11:20:00.000,,bamboo airways,qh,bav,2311,qh2311,bav2311,,,,,,,,,,,,,,
departure,active,dad,vvdn,2,1.0,2023-11-01t09:50:00.000,2023-11-01t09:50:00.000,2023-11-01t09:51:00.000,2023-11-01t09:51:00.000,2023-11-01t09:51:00.000,tpe,rctp,1,2023-11-01t13:30:00.000,2023-11-01t13:05:00.000,starlux,jx,sjx,702,jx702,sjx702,,,,,,,a4,,1b,,,,,
departure,active,dad,vvdn,1,22.0,2023-11-01t10:15:00.000,2023-11-01t10:20:00.000,2023-11-01t10:36:00.000,2023-11-01t10:36:00.000,2023-11-01t10:36:00.000,sgn,vvts,1,2023-11-01t12:15:00.000,2023-11-01t11:37:00.000,cambodia angkor air,k6,khv,3115,k63115,khv3115,vietnam airlines,vn,hvn,115,vn115,hvn115,,,,,,,,
departure,active,dad,vvdn,1,22.0,2023-11-01t10:15:00.000,2023-11-01t10:20:00.000,2023-11-01t10:36:00.000,2023-11-01t10:36:00.000,2023-11-01t10:36:00.000,sgn,vvts,1,2023-11-01t12:15:00.000,2023-11-01t11:37:00.000,vietnam airlines,vn,hvn,115,vn115,hvn115,,,,,,,,,,,,,,
departure,active,dad,vvdn,2,7.0,2023-11-01t10:20:00.000,2023-11-01t10:14:00.000,2023-11-01t10:26:00.000,2023-11-01t10:26:00.000,2023-11-01t10:26:00.000,tpe,rctp,1,2023-11-01t14:00:00.000,2023-11-01t13:41:00.000,china airlines,ci,cal,788,ci788,cal788,,,,,,,a1,,6,,,,,
departure,active,dad,vvdn,2,,2023-11-01t10:30:00.000,2023-11-01t10:15:00.000,2023-11-01t10:28:00.000,2023-11-01t10:28:00.000,2023-11-01t10:28:00.000,cnx,vtcc,,2023-11-01t12:30:00.000,2023-11-01t12:00:00.000,airasia,ak,axm,907,ak907,axm907,,,,,,,,,,,,,,
departure,active,dad,vvdn,1,13.0,2023-11-01t10:30:00.000,2023-11-01t10:25:00.000,2023-11-01t10:42:00.000,2023-11-01t10:42:00.000,2023-11-01t10:42:00.000,han,vvnb,t1,2023-11-01t12:05:00.000,2023-11-01t11:41:00.000,cambodia angkor air,k6,khv,3162,k63162,khv3162,vietnam airlines,vn,hvn,162,vn162,hvn162,,,,,,,,
departure,active,dad,vvdn,1,13.0,2023-11-01t10:30:00.000,2023-11-01t10:25:00.000,2023-11-01t10:42:00.000,2023-11-01t10:42:00.000,2023-11-01t10:42:00.000,han,vvnb,t1,2023-11-01t12:05:00.000,2023-11-01t11:41:00.000,vietnam airlines,vn,hvn,162,vn162,hvn162,,,,,,,,,,,,,,
departure,active,dad,vvdn,2,19.0,2023-11-01t10:40:00.000,2023-11-01t10:40:00.000,2023-11-01t10:58:00.000,2023-11-01t10:58:00.000,2023-11-01t10:58:00.000,bkk,vtbs,,2023-11-01t12:25:00.000,2023-11-01t12:15:00.000,vietjet air,vj,vjc,965,vj965,vjc965,,,,,,,,,,,,,,
departure,active,dad,vvdn,1,1.0,2023-11-01t11:00:00.000,2023-11-01t11:00:00.000,2023-11-01t11:01:00.000,2023-11-01t11:01:00.000,2023-11-01t11:01:00.000,vca,vvct,,2023-11-01t12:40:00.000,2023-11-01t12:11:00.000,vietnam airlines,vn,hvn,1441,vn1441,hvn1441,,,,,,,,,,,,,,
departure,active,dad,vvdn,2,7.0,2023-11-01t11:20:00.000,2023-11-01t11:13:00.000,2023-11-01t11:27:00.000,2023-11-01t11:27:00.000,2023-11-01t11:27:00.000,kul,wmkk,2,2023-11-01t15:10:00.000,2023-11-01t14:49:00.000,airasia,ak,axm,643,ak643,axm643,,,,,,,,,,,,,,
departure,active,dad,vvdn,1,15.0,2023-11-01t11:20:00.000,2023-11-01t11:20:00.000,2023-11-01t11:34:00.000,2023-11-01t11:34:00.000,2023-11-01t11:34:00.000,sgn,vvts,1,2023-11-01t13:05:00.000,2023-11-01t12:41:00.000,cambodia angkor air,k6,khv,3119,k63119,khv3119,vietnam airlines,vn,hvn,119,vn119,hvn119,,,,,,,,
departure,active,dad,vvdn,1,15.0,2023-11-01t11:20:00.000,2023-11-01t11:20:00.000,2023-11-01t11:34:00.000,2023-11-01t11:34:00.000,2023-11-01t11:34:00.000,sgn,vvts,1,2023-11-01t13:05:00.000,2023-11-01t12:41:00.000,vietnam airlines,vn,hvn,119,vn119,hvn119,,,,,,,,,,,,,,
departure,active,dad,vvdn,1,26.0,2023-11-01t11:30:00.000,2023-11-01t11:39:00.000,2023-11-01t11:55:00.000,2023-11-01t11:55:00.000,2023-11-01t11:55:00.000,han,vvnb,t1,2023-11-01t13:10:00.000,2023-11-01t12:54:00.000,cambodia angkor air,k6,khv,3166,k63166,khv3166,vietnam airlines,vn,hvn,166,vn166,hvn166,,,,,,,,
departure,active,dad,vvdn,1,26.0,2023-11-01t11:30:00.000,2023-11-01t11:39:00.000,2023-11-01t11:55:00.000,2023-11-01t11:55:00.000,2023-11-01t11:55:00.000,han,vvnb,t1,2023-11-01t13:10:00.000,2023-11-01t12:54:00.000,vietnam airlines,vn,hvn,166,vn166,hvn166,,,,,,,,,,,,,,
departure,active,dad,vvdn,2,11.0,2023-11-01t11:50:00.000,2023-11-01t11:50:00.000,2023-11-01t12:01:00.000,2023-11-01t12:01:00.000,2023-11-01t12:01:00.000,sin,wsss,2,2023-11-01t15:50:00.000,2023-11-01t15:28:00.000,air new zealand,nz,anz,3467,nz3467,anz3467,singapore airlines,sq,sia,171,sq171,sia171,,,32,,,,,
departure,active,dad,vvdn,2,11.0,2023-11-01t11:50:00.000,2023-11-01t11:50:00.000,2023-11-01t12:01:00.000,2023-11-01t12:01:00.000,2023-11-01t12:01:00.000,sin,wsss,2,2023-11-01t15:50:00.000,2023-11-01t15:28:00.000,virgin australia,va,voz,5485,va5485,voz5485,singapore airlines,sq,sia,171,sq171,sia171,,,32,,,,,
departure,active,dad,vvdn,2,11.0,2023-11-01t11:50:00.000,2023-11-01t11:50:00.000,2023-11-01t12:01:00.000,2023-11-01t12:01:00.000,2023-11-01t12:01:00.000,sin,wsss,2,2023-11-01t15:50:00.000,2023-11-01t15:28:00.000,singapore airlines,sq,sia,171,sq171,sia171,,,,,,,,,32,,,,,
departure,unknown,dad,vvdn,1,,2023-11-01t11:55:00.000,,,,,han,vvnb,1,2023-11-01t13:15:00.000,,bamboo airways,qh,bav,104,qh104,bav104,,,,,,,,,,,,,,
departure,active,dad,vvdn,2,,2023-11-01t11:55:00.000,2023-11-01t11:40:00.000,2023-11-01t11:53:00.000,2023-11-01t11:53:00.000,2023-11-01t11:53:00.000,icn,rksi,1,2023-11-01t18:30:00.000,2023-11-01t17:59:00.000,,h1,h1,5899,h15899,h15899,t'way air,tw,twb,126,tw126,twb126,110,,10,,,,,
departure,active,dad,vvdn,2,,2023-11-01t11:55:00.000,2023-11-01t11:40:00.000,2023-11-01t11:53:00.000,2023-11-01t11:53:00.000,2023-11-01t11:53:00.000,icn,rksi,1,2023-11-01t18:30:00.000,2023-11-01t17:59:00.000,t'way air,tw,twb,126,tw126,twb126,,,,,,,110,,10,,,,,
