type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.scheduledTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,departure.estimatedTime,departure.delay,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.baggage,departure.gate,arrival.gate,arrival.delay,departure.terminal,error
departure,unknown,pqc,vvpq,2023-11-01t11:10:00.000,vca,vvct,,2023-11-01t12:00:00.000,bamboo airways,qh,bav,2182,qh2182,bav2182,,,,,,,,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t11:10:00.000,han,vvnb,t1,2023-11-01t13:20:00.000,vietnam airlines,vn,hvn,1236,vn1236,hvn1236,,,,,,,,12.0,2023-11-01t11:22:00.000,2023-11-01t11:22:00.000,2023-11-01t11:22:00.000,2023-11-01t13:11:00.000,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t11:45:00.000,sgn,vvts,1,2023-11-01t12:55:00.000,jetstar pacific,bl,pic,6514,bl6514,pic6514,,,,,,,,10.0,2023-11-01t11:54:00.000,2023-11-01t11:54:00.000,2023-11-01t11:54:00.000,2023-11-01t12:39:00.000,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t11:50:00.000,sgn,vvts,1,2023-11-01t12:50:00.000,,a1,a1,2324,a12324,a12324,vietjet air,vj,vjc,324,vj324,vjc324,2023-11-01t11:50:00.000,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t11:50:00.000,sgn,vvts,1,2023-11-01t12:50:00.000,flexflight,w2,fxt,4324,w24324,fxt4324,vietjet air,vj,vjc,324,vj324,vjc324,2023-11-01t11:50:00.000,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t11:50:00.000,sgn,vvts,1,2023-11-01t12:50:00.000,,h1,h1,4321,h14321,h14321,vietjet air,vj,vjc,324,vj324,vjc324,2023-11-01t11:50:00.000,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t11:50:00.000,sgn,vvts,1,2023-11-01t12:50:00.000,vietjet air,vj,vjc,324,vj324,vjc324,,,,,,,2023-11-01t11:50:00.000,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t11:55:00.000,hkg,vhhh,1,2023-11-01t15:40:00.000,,h1,h1,4145,h14145,h14145,vietjet air,vj,vjc,986,vj986,vjc986,,,2023-11-01t11:52:00.000,2023-11-01t11:52:00.000,2023-11-01t11:52:00.000,2023-11-01t15:19:00.000,,,,8,,,,,
departure,active,pqc,vvpq,2023-11-01t11:55:00.000,hkg,vhhh,1,2023-11-01t15:40:00.000,,a1,a1,2986,a12986,a12986,vietjet air,vj,vjc,986,vj986,vjc986,,,2023-11-01t11:52:00.000,2023-11-01t11:52:00.000,2023-11-01t11:52:00.000,2023-11-01t15:19:00.000,,,,8,,,,,
departure,active,pqc,vvpq,2023-11-01t11:55:00.000,hkg,vhhh,1,2023-11-01t15:40:00.000,flexflight,w2,fxt,4986,w24986,fxt4986,vietjet air,vj,vjc,986,vj986,vjc986,,,2023-11-01t11:52:00.000,2023-11-01t11:52:00.000,2023-11-01t11:52:00.000,2023-11-01t15:19:00.000,,,,8,,,,,
departure,active,pqc,vvpq,2023-11-01t11:55:00.000,hkg,vhhh,1,2023-11-01t15:40:00.000,vietjet air,vj,vjc,986,vj986,vjc986,,,,,,,,,2023-11-01t11:52:00.000,2023-11-01t11:52:00.000,2023-11-01t11:52:00.000,2023-11-01t15:19:00.000,,,,8,,,,,
departure,active,pqc,vvpq,2023-11-01t12:00:00.000,bkk,vtbs,,2023-11-01t13:20:00.000,vietjet air,vj,vjc,981,vj981,vjc981,,,,,,,,24.0,2023-11-01t12:24:00.000,2023-11-01t12:24:00.000,2023-11-01t12:24:00.000,2023-11-01t13:19:00.000,,,,,,,,,
departure,unknown,pqc,vvpq,2023-11-01t12:05:00.000,dad,vvdn,1,2023-11-01t13:45:00.000,bamboo airways,qh,bav,2312,qh2312,bav2312,,,,,,,,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t13:30:00.000,han,vvnb,t1,2023-11-01t15:35:00.000,,a1,a1,2454,a12454,a12454,vietjet air,vj,vjc,454,vj454,vjc454,,9.0,2023-11-01t13:38:00.000,2023-11-01t13:38:00.000,2023-11-01t13:38:00.000,2023-11-01t15:21:00.000,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t13:30:00.000,han,vvnb,t1,2023-11-01t15:35:00.000,flexflight,w2,fxt,4454,w24454,fxt4454,vietjet air,vj,vjc,454,vj454,vjc454,,9.0,2023-11-01t13:38:00.000,2023-11-01t13:38:00.000,2023-11-01t13:38:00.000,2023-11-01t15:21:00.000,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t13:30:00.000,han,vvnb,t1,2023-11-01t15:35:00.000,,h1,h1,4052,h14052,h14052,vietjet air,vj,vjc,454,vj454,vjc454,,9.0,2023-11-01t13:38:00.000,2023-11-01t13:38:00.000,2023-11-01t13:38:00.000,2023-11-01t15:21:00.000,,,,,,,,,
